slug,name_pt,name_en,name_es
area-control,Controlo de Área,Area Control,Control de Área
asymmetric,Assimétrico,Asymmetric,Asimétrico
auction,Leilão,Auction,Subasta
campaign,Campanha,Campaign,Campaña
card-drafting,Draft de Cartas,Card Drafting,Draft de Cartas
cooperative,Cooperativo,Cooperative,Cooperativo
deck-building,Construção de Baralho,Deck Building,Construcción de Mazo
dice,Dados,Dice,Dados
engine-building,Construção de Motor,Engine Building,Construcción de Motor
memory,Memória,Memory,Memoria
negotiation,Negociação,Negotiation,Negociación
party,Party,Party,Fiesta
pattern-building,Construção de Padrões,Pattern Building,Construcción de Patrones
push-your-luck,Forçar a Sorte,Push Your Luck,Forzar la Suerte
resource-management,Gestão de Recursos,Resource Management,Gestión de Recursos
roll-and-write,Rolar e Escrever,Roll and Write,Tirar y Escribir
social-deduction,Dedução Social,Social Deduction,Deducción Social
tile-laying,Colocação de Peças,Tile Laying,Colocación de Losetas
trick-taking,Vazas,Trick Taking,Bazas
word,Palavra,Word,Palabra
worker-placement,Colocação de Trabalhadores,Worker Placement,Colocación de Trabajadores
abstract,Abstrato,Abstract,Abstracto
adventure,Aventura,Adventure,Aventura
animals,Animais,Animals,Animales
city-building,Construção de Cidade,City Building,Construcción de Ciudad
economy,Economia,Economy,Economía
fantasy,Fantasia,Fantasy,Fantasía
historical,Histórico,Historical,Histórico
horror,Terror,Horror,Terror
medieval,Medieval,Medieval,Medieval
mystery,Mistério,Mystery,Misterio
nature,Natureza,Nature,Naturaleza
pirates,Piratas,Pirates,Piratas
racing,Corridas,Racing,Carreras
sci-fi,Ficção Científica,Science Fiction,Ciencia Ficción
science,Ciência,Science,Ciencia
space,Espaço,Space,Espacio
trains,Comboios,Trains,Trenes
war,Guerra,War,Guerra
western,Faroeste,Western,Western
educational,Educativo,Educational,Educativo
family,Familiar,Family,Familiar
gateway,Introdução,Gateway,Introducción
heavy,Pesado,Heavy,Pesado
medium,Médio,Medium,Medio
prototype,Protótipo,Prototype,Prototipo
puzzle,Puzzle,Puzzle,Puzzle
recommended,Recomendado,Recommended,Recomendado
